symbol,asset_type,price,future_price,price_change,signal,label,ma5_cross,ma10_cross,ma20_cross,price_vs_ma20,price_vs_ma50,mom5,mom10,mom20,vol10,vol20,vol_ratio,rsi,macd_cross,macd_hist,bb_position,roc5,roc10,atr_pct,obv_pct,vol_trend,hl_position,score
LMT,STOCK,1.52638,1.623955,6.3926,BUY,1,5.023,2.9847,2.5023,6.2849,8.9445,3.3019,7.3529,12.5964,7.8818,12.8867,0.6116,84.9051,0.0097,0.0097,0.8563,3.3019,7.3529,1.4677,12.1769,14.7959,98.1132,4
LMT,STOCK,1.505471,1.592593,5.787,BUY,1,4.8516,3.0654,2.7543,4.2723,7.1443,1.8868,6.404,11.3403,7.0905,12.5964,0.5629,75.4383,0.0075,0.0075,0.6041,1.8868,6.404,1.5873,9.9875,17.775,84.9056,3
LMT,STOCK,1.550774,1.630926,5.1685,BUY,1,2.4617,2.6995,3.3294,5.839,9.3628,1.5982,4.9529,10.1485,4.9529,11.5289,0.4296,77.4645,0.0022,0.0022,0.8862,1.5982,4.9529,1.8138,9.2422,15.5052,100.0,3
LMT,STOCK,1.550774,1.603047,3.3707,BUY,1,2.5435,2.6618,3.6206,5.2881,9.1002,3.0093,4.9529,10.9725,4.9529,11.5289,0.4296,76.4702,0.0035,0.0035,0.7937,3.0093,4.9529,1.878,8.4593,21.9452,95.8334,4
LMT,STOCK,1.599561,1.575167,-1.5251,BUY,0,3.4199,2.6443,3.9407,7.8857,12.1372,7.7464,6.4964,13.8957,8.2547,15.0375,0.5489,78.9469,0.007,0.007,1.0893,7.7464,6.4964,2.1475,10.7424,58.0568,83.3332,4
LMT,STOCK,1.655321,1.561228,-5.6843,BUY,0,4.8806,2.6674,4.4308,10.6581,15.5612,12.0283,9.1955,19.0477,12.0283,18.75,0.6415,80.2466,0.0121,0.0121,1.2982,12.0283,9.1955,2.3459,13.2604,113.1808,82.6087,3
LMT,STOCK,1.658805,1.561228,-5.8824,BUY,0,6.2233,2.6902,4.9318,9.918,15.339,11.4754,9.1743,19.0,12.2642,17.2414,0.7113,82.4998,0.0145,0.0145,1.1278,11.4754,9.1743,2.611,15.8986,187.0954,77.551,3
LMT,STOCK,1.623955,1.540318,-5.1502,BUY,0,6.4801,2.6494,5.3027,6.8929,12.5611,4.719,6.3926,14.2156,12.2642,17.2414,0.7113,73.333,0.0127,0.0127,0.7738,4.719,6.3926,2.7437,14.5277,183.5522,65.9572,3
LMT,STOCK,1.592593,1.547289,-2.8447,BUY,0,6.4082,2.6226,5.6882,4.219,10.1472,2.6966,5.787,12.5616,12.2642,16.3814,0.7487,64.1304,0.0085,0.0085,0.496,2.6966,5.787,2.829,13.4825,177.4372,56.3831,3
LMT,STOCK,1.610016,1.589108,-1.2987,SELL,1,2.8713,3.2316,6.3324,4.0423,10.6307,-2.9412,8.1967,8.4506,6.9663,12.2642,0.568,61.1109,-0.0004,-0.0004,0.5382,-2.9412,8.1967,3.1076,12.4452,-34.6112,53.2466,0
