symbol,asset_type,price,future_price,price_change,signal,label,ma5_cross,ma10_cross,ma20_cross,price_vs_ma20,price_vs_ma50,mom5,mom10,mom20,vol10,vol20,vol_ratio,rsi,macd_cross,macd_hist,bb_position,roc5,roc10,score
ABTC,STOCK,11860.0,9420.0,-20.5734,BUY,0,-3.7301,-3.6826,-14.7377,-6.0743,-19.9168,1.7153,-9.4656,-7.1987,15.4529,19.0053,0.8131,34.2857,100.2899,100.2899,-0.5984,1.7153,-9.4656,-2
ABTC,STOCK,11860.0,9220.0,-22.2597,BUY,0,-2.4631,-4.2746,-13.9148,-5.7683,-18.8805,5.3286,-8.7692,-6.4669,14.2096,19.0053,0.7477,34.5679,88.3806,88.3806,-0.5474,5.3286,-8.7692,-1
ABTC,STOCK,2640.0,2700.0,2.2727,BUY,1,-9.8908,-9.2954,-18.5877,-12.6695,-28.9023,3.937,-11.4094,-22.3529,17.3228,41.7323,0.4151,28.5714,20.7138,20.7138,-0.5635,3.937,-11.4094,-1
ABTC,STOCK,680.0,306.0,-55.0,BUY,0,-9.4212,-8.8502,-24.4362,-11.7571,-33.3203,4.2945,-16.4619,-16.8704,18.2099,35.8025,0.5086,34.7328,16.0161,16.0161,-0.5829,4.2945,-16.4619,-1
ABTC,STOCK,254.0,260.0,2.3622,BUY,1,-10.8492,-6.5511,-19.8878,-11.9584,-29.468,3.252,-22.0859,-9.2857,26.0163,32.5203,0.8,35.6322,3.8316,3.8316,-0.6382,3.252,-22.0859,-1
ABTC,STOCK,202.0,133.0,-34.1584,BUY,0,0.4642,-0.8767,-14.3854,4.1774,-10.8089,9.7826,5.2083,-1.9417,9.7826,26.6667,0.3668,38.1818,3.7778,3.7778,0.3845,9.7826,5.2083,4
ABTC,STOCK,78.800003,80.0,1.5228,BUY,1,-7.9427,-6.1737,-19.4867,-7.07,-25.179,6.1995,-8.3721,-15.2688,14.5553,24.9326,0.5838,33.4247,0.0868,0.0868,-0.5027,6.1995,-8.3721,-1
ABTC,STOCK,61.099998,52.099998,-14.73,BUY,0,1.4591,-2.6589,-9.9877,-0.9403,-10.8342,1.8333,5.3448,-8.806,20.7273,27.2727,0.76,38.6189,0.6399,0.6399,-0.0763,1.8333,5.3448,2
ABTC,STOCK,7.6,8.2,7.8947,BUY,1,1.6224,-1.6224,-14.8102,4.9361,-10.6051,9.3525,2.7027,4.1096,23.4848,43.5484,0.5393,37.5,0.3042,0.3042,0.2372,9.3525,2.7027,3
ABTC,STOCK,7.25,8.7,20.0,BUY,1,2.6731,-1.9877,-13.7462,-0.6169,-14.2783,9.8485,3.5714,16.9355,23.4848,37.9845,0.6183,37.1429,0.2686,0.2686,-0.0316,9.8485,3.5714,3
